,CountryCode,GDP at market prices (current US$),CO2 emissions (kt),Mobile cellular subscriptions,"Life expectancy at birth, total (years)","Hospital beds (per 1,000 people)"
98,GEO,11638536834.4274,6530.927,3978242.0,73.6747317073171,3.38253024007593
99,DEU,3417298013245.03,750697.2390000001,88400000.0,79.9878048780488,8.25
100,GHA,32174772955.9748,10102.585,17436949.0,60.6099756097561,3.38253024007593
101,GRC,299379400264.901,86717.216,12292716.0,80.3878048780488,8.867481772104892
102,GRD,771015875.925926,260.357,121946.0,72.5675121951219,3.8022650165690317
103,GTM,41338008265.2833,11367.7,18067970.0,70.77546341463409,0.6
104,GIN,4735956493.06479,2486.226,4000000.0,56.305048780487795,1.2664759864027686
105,GNB,847491366.890874,238.355,677365.0,53.81436585365851,1.2664759864027686
106,GUY,2259288396.24467,1719.8229999999999,560397.0,66.04270731707321,3.38253024007593
107,HTI,6622541528.56888,2119.526,4000000.0,61.2401219512195,1.2664759864027686
108,HND,15839344591.9842,8107.736999999999,9505071.0,72.3939756097561,0.8
109,HKG,228637697575.04,36288.632000000005,13793729.0,82.9780487804878,5.619240555167195
110,HUN,130093753005.675,50747.613,12011823.0,74.2073170731707,7.18
111,ISL,13236887873.0516,1961.845,341077.0,81.89756097560971,8.867481772104892
112,IND,1708458876830.18,1950950.343,752190000.0,66.50614634146339,3.38253024007593
113,IDN,755094157594.5259,436981.722,211290235.0,68.1471951219512,0.6
114,IRN,467790215915.4721,571604.626,54051764.0,73.98317073170729,3.8022650165690317
115,IRQ,138516722649.573,111447.464,23264408.0,68.829756097561,1.3
116,IRL,220076114437.08606,40175.652,4701474.0,80.74390243902441,3.15
117,ISR,234321743781.76,68891.929,9111000.0,81.60243902439029,3.5
118,ITA,2126747575629.14,405361.18100000004,93666088.0,82.0365853658537,3.53
119,JAM,13190512703.1357,7190.986999999999,3181995.0,72.8471219512195,1.9
120,JPN,5495385617892.02,1168918.5890000002,123287125.0,82.8426829268293,8.867481772104892
121,JOR,26425379436.6197,21180.592,6620000.0,73.4358780487805,1.8
122,KAZ,148047348240.643,247214.47199999998,19402600.0,68.29536585365851,3.8022650165690317
123,KEN,39999659233.7555,12420.128999999999,24968891.0,58.7186097560976,1.4
124,KIR,150431113.557145,62.339,10595.0,65.3027804878049,1.4
125,KOR,1094499338702.72,566716.515,50767241.0,80.55121951219509,8.867481772104892
126,KSV,5829933774.83444,6445.507470588236,0.0,69.9,3.38253024007593
127,KWT,115419050942.08,90846.258,3979145.0,74.1619268292683,5.619240555167195
128,KGZ,4794357795.07139,6153.226,5275477.0,69.3,3.38253024007593
129,LAO,7181441139.89806,1272.4489999999998,4003395.0,64.3336341463415,0.7
130,LVA,23743309485.9565,8313.089,2306100.0,73.4829268292683,5.32
131,LBN,38009950248.7562,20091.493000000002,2863664.0,79.25278048780491,3.8022650165690317
132,LSO,2187482926.29624,2258.8720000000003,987448.0,47.4834146341463,3.38253024007593
133,LBR,1292697100.0,803.073,1571308.0,59.4412926829268,0.8
134,LBY,74773444900.5368,66057.338,10900000.0,71.73739024390241,3.8022650165690317
135,LIE,5082338964.87305,58.672,35500.0,81.8414634146342,5.619240555167195
136,LTU,37132564255.4319,13377.216,4890979.0,73.2682926829268,6.75
137,LUX,52351655629.1391,10967.997,727000.0,80.63170731707321,5.4
138,MAC,28359765189.5729,1199.109,1122261.0,79.69039024390241,5.619240555167195
139,MKD,9407168702.4313,8602.782,2153425.0,74.72263414634149,4.59
140,MDG,8729936135.744871,2086.5229999999997,7711721.0,63.36173170731711,0.2
141,MWI,5398615401.22815,1213.777,3117364.0,56.836243902439,1.2664759864027686
142,MYS,255016919685.822,224589.082,33858700.0,74.15778048780491,1.8
143,MDV,2323401758.7014,1074.431,494351.0,76.2004878048781,3.8022650165690317
144,MLI,9264035748.08939,1235.779,7440383.0,56.1798048780488,0.1
145,MLT,8163355021.12327,2618.238,455579.0,81.39756097560979,4.5
146,MHL,163803078.278876,102.676,0.0,54.79085210171251,2.7
147,MRT,4337791530.7760105,2137.861,2776050.0,62.006170731707286,3.38253024007593
148,MUS,9718233910.68203,3916.3559999999998,1190900.0,72.9673170731707,3.8022650165690317
149,MEX,1049925441358.02,445063.79,91383493.0,76.02678048780491,1.7
150,FSM,294117200.0,121.01100000000001,27518.0,68.6122682926829,3.38253024007593
151,MDA,5811604051.96737,4935.782,2550592.0,68.4581219512195,3.38253024007593
152,MCO,5350674803.33858,5076.679423076922,23414.0,61.40172541306059,5.619240555167195
153,MNG,7189482029.70875,11510.713,2510470.0,67.6038292682927,5.8
154,MNE,4139192052.9801297,2581.5679999999998,1170000.0,74.4167317073171,4.0
155,MAR,93216746661.5977,55958.42,31982279.0,72.57692682926829,3.38253024007593
156,MOZ,10154238250.1818,2874.928,7224176.0,53.2269024390244,1.2664759864027686
157,NAM,11282192605.0374,3179.289,1950072.0,62.480292682926795,3.8022650165690317
158,NPL,16002656434.4746,4330.727,9195562.0,67.9714878048781,1.2664759864027686
159,NLD,836439735099.338,181927.204,19179000.0,80.7024390243902,8.867481772104892
160,NZL,145287593385.214,31748.886000000002,4710000.0,80.7024390243902,8.867481772104892
161,NIC,8741313142.66449,4624.087,3962247.0,73.58173170731709,0.8
162,NER,5718589799.24366,1353.1229999999998,3668625.0,58.25899999999999,1.2664759864027686
163,NGA,369062464570.387,85221.08,87297789.0,51.32951219512201,3.38253024007593
164,NOR,428524701366.599,56794.496,5599286.0,80.9975609756098,3.3
165,OMN,58641352405.7217,56292.117,4606133.0,76.0528048780488,5.619240555167195
166,PAK,177406854514.885,162792.798,99185844.0,65.1625609756098,0.6
167,PLW,184324923.8203,216.35299999999998,14512.0,54.79085210171251,4.8
168,PAN,28814100000.0,8866.806,6646348.0,76.8636341463415,2.4
169,PNG,9716103408.96554,4664.424,1909078.0,61.99482926829271,3.38253024007593
170,PRY,20030528042.9171,5075.128,5920858.0,72.3012926829268,1.3
171,PER,148522048127.964,57857.926,29115149.0,73.6398048780488,1.5
172,PHL,199590774784.58105,81700.76,83150138.0,67.7833170731707,3.38253024007593
173,POL,479242529764.866,317081.82300000003,46952111.0,76.2463414634146,6.59
174,PRT,238317631788.07895,49588.84099999999,12210377.0,79.0268292682927,3.35
175,PRI,98381268000.0,5076.679423076922,2933988.0,78.182243902439,5.619240555167195
176,QAT,125122306346.154,75279.843,2186447.0,77.825512195122,5.619240555167195
177,ROM,167998080493.40802,79335.545,24360000.0,73.4585365853659,6.29
178,RUS,1524917468442.01,1742540.065,237689224.0,68.8560975609756,5.619240555167195
179,RWA,5698548987.88591,590.387,3548761.0,61.4017804878049,1.2664759864027686
180,WSM,656789149.595525,205.352,90000.0,72.417,3.38253024007593
181,STP,195176113.354139,99.009,102730.0,65.8546829268293,3.38253024007593
182,SAU,526811466666.6671,533093.792,51564375.0,73.7016097560976,5.619240555167195
183,SEN,12932428287.6047,8272.752,8343717.0,64.0144390243903,3.38253024007593
184,SRB,39460357730.5224,45877.837,9915348.0,74.33658536585371,3.8022650165690317
185,SYC,969970292.8454232,689.3960000000001,117587.0,73.1975609756098,5.619240555167195
186,SLE,2578026297.15912,726.066,2000000.0,48.22895121951221,1.2664759864027686
187,SGP,236421782178.218,13479.892,7384600.0,81.5414634146342,5.619240555167195
188,SVK,89254492715.2318,36240.961,5925012.0,75.1121951219512,6.42
189,SVN,48016463576.1589,15427.069,2121950.0,79.42195121951221,4.57
190,SLB,671585231.579861,198.018,115500.0,67.0656585365854,3.38253024007593
191,ZAF,375349442837.24,454950.02200000006,50372000.0,54.390756097560995,3.8022650165690317
192,SSD,15727363443.0995,372.71388,1500000.0,53.6649024390244,1.2664759864027686
193,ESP,1431672847682.12,270881.29,51389417.0,81.62682926829271,3.16
194,LKA,56725780417.3724,13388.216999999999,17359312.0,73.7552682926829,3.38253024007593
195,KNA,692457419.392593,260.357,80000.0,61.40172541306059,4.8
196,LCA,1249497009.88889,403.37,198212.0,74.4710975609756,3.8022650165690317
197,VCT,681225963.703704,234.688,131791.0,72.3463902439024,2.6
198,SDN,65634109236.7736,15779.101,18093231.0,62.042585365853704,3.38253024007593
199,SUR,4368398047.64333,2394.551,521166.0,70.36273170731711,3.1
200,SWZ,3527776867.1802397,1037.761,725802.0,48.34575609756099,3.38253024007593
201,SWE,488379327089.837,52573.779,10992407.0,81.4512195121951,2.73
202,CHE,581211708792.789,38752.856,9644157.0,82.24634146341471,4.97
203,TJK,5642221528.67072,2834.591,5940842.0,68.5633902439025,3.38253024007593
204,TZA,31407908612.0943,6849.956,20983853.0,61.6256097560976,0.7
205,THA,340923571200.889,298141.768,71726300.0,73.6943658536586,2.1
206,TMP,934000000.0,183.35,473020.0,65.9444634146342,5.9
207,TGO,3172945644.5585,1719.8229999999999,2602283.0,57.2815609756098,1.2664759864027686
208,TON,369816107.03043,117.344,54300.0,72.18260975609759,2.6
209,TTO,21037565681.1231,50916.295,1894240.0,69.7975609756098,2.1
210,TUN,44051138745.2843,26743.431,11114206.0,74.60243902439029,2.1
211,TUR,731168051903.114,298002.422,61769635.0,74.21119512195119,2.5
212,TKM,22148070175.4386,57267.539000000004,3197624.0,65.021243902439,3.8022650165690317
213,TUV,31823518.6204366,31363.658,1600.0,54.79085210171251,3.8022650165690317
214,UGA,20181796802.8763,3589.993,12828264.0,55.8366585365854,0.5
215,UKR,136419300367.962,304496.679,53928830.0,70.2653658536586,3.38253024007593
216,ARE,286049336038.12103,167596.568,10926019.0,76.67524390243901,5.619240555167195
217,GBR,2403504326328.8,492192.07399999996,76729827.0,80.4024390243902,2.98
218,USA,14964372000000.0,5408869.004,285118000.0,78.5414634146342,3.0
219,URY,40284682479.8596,6453.92,4437158.0,76.3946097560976,1.2
220,UZB,39332770928.9426,105488.589,20952000.0,67.858756097561,4.4
221,VUT,700804286.224354,117.344,169935.0,70.8499512195122,3.38253024007593
222,VEN,393801459277.332,197511.954,27880132.0,73.6716097560976,5.619240555167195
223,VNM,115931749904.839,153148.58800000002,111570201.0,75.3117317073171,2.0
224,WBG,8913100000.0,2035.185,2603582.0,72.64048780487809,3.38253024007593
225,YEM,30906753495.1501,25716.671000000002,11085000.0,62.7687317073171,0.7
226,ZMB,20265552104.3964,2673.243,5446991.0,56.38385365853661,2.0
227,ZWE,9422161302.21483,9028.154,7700000.0,49.574658536585396,1.2664759864027686
228,CYM,1309596632.7798703,564.7180000000001,100568.0,61.40172541306059,5.619240555167195
229,PYF,1309596632.7798703,883.747,215890.0,75.69539024390251,5.619240555167195
230,GRL,1309596632.7798703,663.727,57349.0,70.8368292682927,5.619240555167195
231,PRK,540854102.0152137,72492.923,431919.0,68.9000243902439,1.2664759864027686
232,MMR,2780489410.675603,8987.817,594000.0,64.917487804878,3.38253024007593
233,NCL,1309596632.7798703,3920.0229999999997,220811.0,77.4731707317073,5.619240555167195
234,SOM,540854102.0152137,612.389,648200.0,54.0236585365854,1.2664759864027686
235,SYR,2780489410.675603,61576.264,11696000.0,74.8676341463415,1.5
236,TCA,1309596632.7798703,190.68400000000003,0.0,61.40172541306059,5.619240555167195
237,CUW,1309596632.7798703,5076.679423076922,204024.0,61.40172541306059,5.619240555167195
238,SMR,1309596632.7798703,5076.679423076922,30587.0,83.1593791574279,5.619240555167195
239,CHI,1309596632.7798703,5076.679423076922,0.0,80.0103658536585,5.619240555167195
240,GUM,1309596632.7798703,5076.679423076922,0.0,78.1008780487805,5.619240555167195
241,MAF,1309596632.7798703,5076.679423076922,0.0,78.7219512195122,5.619240555167195
242,VIR,1309596632.7798703,5076.679423076922,0.0,79.1731707317073,5.619240555167195
