age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
43.0,management,divorced,tertiary,no,388.0,yes,no,unknown,8.0,may,2087.0,2.0,-1.0,0.0,unknown,yes
43.0,blue-collar,married,primary,no,-192.0,yes,no,unknown,8.0,may,1120.0,2.0,-1.0,0.0,unknown,yes
37.0,unemployed,single,secondary,no,381.0,yes,no,unknown,8.0,may,985.0,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,single,secondary,no,40.0,yes,no,unknown,9.0,may,617.0,4.0,-1.0,0.0,unknown,yes
31.0,technician,single,tertiary,no,22.0,yes,no,unknown,9.0,may,483.0,3.0,-1.0,0.0,unknown,yes
43.0,blue-collar,single,secondary,no,3.0,yes,no,unknown,9.0,may,929.0,3.0,-1.0,0.0,unknown,yes
31.0,admin.,married,secondary,no,307.0,yes,no,unknown,9.0,may,538.0,1.0,-1.0,0.0,unknown,yes
28.0,blue-collar,single,secondary,no,759.0,yes,no,unknown,9.0,may,710.0,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,married,secondary,yes,-1.0,yes,no,unknown,9.0,may,653.0,1.0,-1.0,0.0,unknown,yes
60.0,technician,married,primary,no,65.0,yes,no,unknown,9.0,may,1028.0,2.0,-1.0,0.0,unknown,yes
26.0,blue-collar,single,secondary,no,82.0,yes,no,unknown,9.0,may,654.0,1.0,-1.0,0.0,unknown,yes
40.0,blue-collar,married,secondary,no,10.0,yes,no,unknown,9.0,may,1692.0,2.0,-1.0,0.0,unknown,yes
33.0,blue-collar,divorced,primary,no,390.0,yes,no,unknown,9.0,may,665.0,2.0,-1.0,0.0,unknown,yes
32.0,management,single,tertiary,no,311.0,no,no,unknown,12.0,may,757.0,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,primary,no,414.0,no,no,unknown,13.0,may,504.0,4.0,-1.0,0.0,unknown,yes
33.0,management,divorced,secondary,no,5.0,yes,no,unknown,13.0,may,1346.0,1.0,-1.0,0.0,unknown,yes
38.0,management,married,tertiary,no,119.0,yes,no,unknown,13.0,may,568.0,4.0,-1.0,0.0,unknown,yes
23.0,entrepreneur,single,primary,no,4.0,yes,no,unknown,13.0,may,395.0,2.0,-1.0,0.0,unknown,yes
48.0,management,married,tertiary,no,1949.0,yes,no,unknown,13.0,may,683.0,2.0,-1.0,0.0,unknown,yes
45.0,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,13.0,may,470.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,secondary,no,1165.0,yes,no,unknown,13.0,may,1001.0,4.0,-1.0,0.0,unknown,yes
52.0,management,married,unknown,no,2240.0,yes,no,unknown,13.0,may,845.0,1.0,-1.0,0.0,unknown,yes
35.0,blue-collar,divorced,primary,no,300.0,yes,no,unknown,13.0,may,945.0,2.0,-1.0,0.0,unknown,yes
43.0,technician,married,secondary,no,3285.0,yes,no,unknown,13.0,may,1721.0,2.0,-1.0,0.0,unknown,yes
52.0,housemaid,married,secondary,no,3923.0,yes,no,unknown,14.0,may,942.0,3.0,-1.0,0.0,unknown,yes
53.0,technician,divorced,primary,no,1443.0,yes,no,unknown,14.0,may,476.0,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,divorced,primary,no,24.0,yes,no,unknown,14.0,may,832.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,single,primary,no,1618.0,yes,no,unknown,14.0,may,1553.0,1.0,-1.0,0.0,unknown,yes
39.0,management,divorced,tertiary,no,517.0,yes,yes,unknown,14.0,may,1328.0,1.0,-1.0,0.0,unknown,yes
59.0,retired,married,secondary,no,1521.0,yes,yes,unknown,14.0,may,1125.0,2.0,-1.0,0.0,unknown,yes
48.0,blue-collar,married,secondary,no,1405.0,yes,no,unknown,14.0,may,629.0,2.0,-1.0,0.0,unknown,yes
40.0,admin.,married,secondary,no,1535.0,yes,no,unknown,14.0,may,704.0,1.0,-1.0,0.0,unknown,yes
48.0,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14.0,may,760.0,1.0,-1.0,0.0,unknown,yes
60.0,retired,married,primary,no,1542.0,yes,no,unknown,14.0,may,930.0,1.0,-1.0,0.0,unknown,yes
57.0,technician,married,tertiary,no,-1.0,no,no,unknown,14.0,may,850.0,2.0,-1.0,0.0,unknown,yes
51.0,blue-collar,married,secondary,no,7180.0,yes,no,unknown,14.0,may,927.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,divorced,secondary,no,5291.0,yes,no,unknown,14.0,may,1423.0,3.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,secondary,no,1384.0,yes,no,unknown,15.0,may,1162.0,4.0,-1.0,0.0,unknown,yes
52.0,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,15.0,may,755.0,1.0,-1.0,0.0,unknown,yes
59.0,blue-collar,married,primary,no,320.0,yes,no,unknown,15.0,may,695.0,1.0,-1.0,0.0,unknown,yes
44.0,blue-collar,married,unknown,no,146.0,yes,no,unknown,15.0,may,483.0,1.0,-1.0,0.0,unknown,yes
49.0,unknown,married,primary,no,341.0,yes,yes,unknown,15.0,may,520.0,2.0,-1.0,0.0,unknown,yes
40.0,services,married,primary,no,-9.0,yes,no,unknown,15.0,may,920.0,2.0,-1.0,0.0,unknown,yes
41.0,admin.,married,primary,no,-306.0,yes,no,unknown,15.0,may,500.0,1.0,-1.0,0.0,unknown,yes
44.0,technician,married,tertiary,no,4580.0,yes,no,unknown,15.0,may,911.0,2.0,-1.0,0.0,unknown,yes
60.0,services,single,primary,no,313.0,yes,no,unknown,15.0,may,920.0,2.0,-1.0,0.0,unknown,yes
29.0,management,married,tertiary,no,10576.0,no,no,unknown,15.0,may,1224.0,2.0,-1.0,0.0,unknown,yes
41.0,retired,divorced,primary,no,-233.0,yes,no,unknown,15.0,may,1156.0,2.0,-1.0,0.0,unknown,yes
42.0,technician,single,secondary,no,1364.0,yes,no,unknown,15.0,may,1867.0,6.0,-1.0,0.0,unknown,yes
36.0,services,single,unknown,no,281.0,yes,no,unknown,16.0,may,515.0,1.0,-1.0,0.0,unknown,yes
39.0,technician,married,tertiary,no,94.0,yes,yes,unknown,16.0,may,813.0,1.0,-1.0,0.0,unknown,yes
31.0,self-employed,single,tertiary,no,144.0,yes,no,unknown,16.0,may,676.0,1.0,-1.0,0.0,unknown,yes
26.0,blue-collar,married,secondary,no,246.0,yes,no,unknown,16.0,may,1143.0,3.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,92.0,yes,no,unknown,16.0,may,688.0,1.0,-1.0,0.0,unknown,yes
29.0,admin.,single,secondary,no,163.0,yes,yes,unknown,16.0,may,803.0,1.0,-1.0,0.0,unknown,yes
37.0,services,divorced,secondary,no,49.0,yes,no,unknown,16.0,may,619.0,2.0,-1.0,0.0,unknown,yes
33.0,blue-collar,single,secondary,no,-416.0,yes,no,unknown,16.0,may,767.0,2.0,-1.0,0.0,unknown,yes
24.0,technician,single,secondary,no,409.0,yes,no,unknown,16.0,may,912.0,1.0,-1.0,0.0,unknown,yes
50.0,admin.,divorced,secondary,no,363.0,yes,no,unknown,16.0,may,1340.0,1.0,-1.0,0.0,unknown,yes
27.0,technician,single,tertiary,no,3706.0,yes,no,unknown,16.0,may,897.0,1.0,-1.0,0.0,unknown,yes
54.0,management,single,tertiary,no,4393.0,yes,no,unknown,16.0,may,1297.0,3.0,-1.0,0.0,unknown,yes
30.0,technician,single,secondary,no,863.0,yes,no,unknown,16.0,may,1193.0,5.0,-1.0,0.0,unknown,yes
34.0,blue-collar,married,primary,no,695.0,yes,yes,unknown,16.0,may,1064.0,4.0,-1.0,0.0,unknown,yes
37.0,management,single,secondary,no,792.0,yes,no,unknown,16.0,may,1187.0,4.0,-1.0,0.0,unknown,yes
41.0,admin.,single,secondary,no,1020.0,yes,no,unknown,19.0,may,882.0,1.0,-1.0,0.0,unknown,yes
47.0,blue-collar,married,secondary,no,863.0,yes,no,unknown,19.0,may,943.0,2.0,-1.0,0.0,unknown,yes
31.0,admin.,married,secondary,no,97.0,yes,no,unknown,19.0,may,607.0,1.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,754.0,yes,no,unknown,19.0,may,1022.0,4.0,-1.0,0.0,unknown,yes
43.0,services,divorced,secondary,no,1040.0,yes,no,unknown,19.0,may,552.0,3.0,-1.0,0.0,unknown,yes
37.0,management,divorced,tertiary,no,122.0,yes,no,unknown,19.0,may,1622.0,2.0,-1.0,0.0,unknown,yes
30.0,technician,single,tertiary,no,880.0,yes,yes,unknown,19.0,may,967.0,6.0,-1.0,0.0,unknown,yes
41.0,technician,married,secondary,no,501.0,yes,no,unknown,19.0,may,579.0,5.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,secondary,no,4438.0,yes,no,unknown,20.0,may,446.0,1.0,-1.0,0.0,unknown,yes
35.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,20.0,may,1205.0,1.0,-1.0,0.0,unknown,yes
29.0,services,single,secondary,no,271.0,yes,no,unknown,20.0,may,1882.0,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,primary,no,102.0,yes,no,unknown,20.0,may,1334.0,1.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,2.0,yes,no,unknown,20.0,may,182.0,2.0,-1.0,0.0,unknown,yes
35.0,services,married,secondary,no,4170.0,yes,no,unknown,20.0,may,1777.0,1.0,-1.0,0.0,unknown,yes
34.0,technician,single,secondary,no,85.0,yes,no,unknown,20.0,may,1182.0,4.0,-1.0,0.0,unknown,yes
31.0,admin.,single,secondary,no,431.0,yes,yes,unknown,20.0,may,1045.0,1.0,-1.0,0.0,unknown,yes
44.0,technician,divorced,secondary,no,982.0,yes,no,unknown,20.0,may,650.0,3.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,primary,no,408.0,yes,yes,unknown,20.0,may,1063.0,2.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,unknown,no,4822.0,yes,no,unknown,20.0,may,843.0,2.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,primary,no,1250.0,yes,no,unknown,20.0,may,1392.0,2.0,-1.0,0.0,unknown,yes
31.0,blue-collar,single,primary,no,216.0,yes,no,unknown,21.0,may,565.0,1.0,-1.0,0.0,unknown,yes
34.0,blue-collar,married,secondary,no,1207.0,yes,no,unknown,21.0,may,905.0,1.0,-1.0,0.0,unknown,yes
32.0,technician,married,secondary,no,791.0,yes,no,unknown,21.0,may,783.0,2.0,-1.0,0.0,unknown,yes
37.0,technician,single,secondary,no,1211.0,yes,no,unknown,21.0,may,795.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,primary,no,599.0,yes,no,unknown,21.0,may,649.0,2.0,-1.0,0.0,unknown,yes
31.0,management,single,tertiary,no,825.0,yes,no,unknown,21.0,may,506.0,2.0,-1.0,0.0,unknown,yes
27.0,technician,married,secondary,no,2183.0,yes,yes,unknown,21.0,may,857.0,1.0,-1.0,0.0,unknown,yes
34.0,retired,married,primary,no,4499.0,no,no,unknown,21.0,may,1681.0,1.0,-1.0,0.0,unknown,yes
30.0,technician,single,tertiary,no,1289.0,yes,no,unknown,21.0,may,1697.0,2.0,-1.0,0.0,unknown,yes
32.0,technician,single,tertiary,no,4665.0,yes,no,unknown,21.0,may,860.0,2.0,-1.0,0.0,unknown,yes
37.0,technician,single,secondary,no,3326.0,yes,no,unknown,21.0,may,799.0,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,married,secondary,no,783.0,yes,no,unknown,21.0,may,923.0,3.0,-1.0,0.0,unknown,yes
33.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,21.0,may,521.0,3.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,primary,no,994.0,yes,no,unknown,23.0,may,1349.0,8.0,-1.0,0.0,unknown,yes
35.0,self-employed,divorced,tertiary,no,1354.0,yes,no,unknown,23.0,may,736.0,2.0,-1.0,0.0,unknown,yes
30.0,blue-collar,single,secondary,no,239.0,yes,no,unknown,23.0,may,785.0,1.0,-1.0,0.0,unknown,yes
45.0,admin.,married,secondary,no,149.0,yes,no,unknown,23.0,may,893.0,3.0,-1.0,0.0,unknown,yes
33.0,blue-collar,married,secondary,no,1464.0,yes,no,unknown,23.0,may,588.0,3.0,-1.0,0.0,unknown,yes
44.0,management,divorced,tertiary,no,5773.0,no,no,unknown,23.0,may,597.0,6.0,-1.0,0.0,unknown,yes
40.0,blue-collar,married,primary,no,278.0,yes,no,unknown,23.0,may,1015.0,3.0,-1.0,0.0,unknown,yes
31.0,blue-collar,married,secondary,no,2910.0,yes,no,unknown,23.0,may,1392.0,2.0,-1.0,0.0,unknown,yes
30.0,technician,married,tertiary,no,541.0,yes,no,unknown,26.0,may,414.0,2.0,-1.0,0.0,unknown,yes
44.0,technician,divorced,secondary,no,1262.0,yes,no,unknown,26.0,may,788.0,11.0,-1.0,0.0,unknown,yes
34.0,services,married,secondary,no,-538.0,yes,no,unknown,26.0,may,682.0,1.0,-1.0,0.0,unknown,yes
37.0,blue-collar,married,secondary,no,125.0,no,no,unknown,26.0,may,679.0,2.0,-1.0,0.0,unknown,yes
28.0,self-employed,single,tertiary,no,0.0,yes,no,unknown,26.0,may,1560.0,2.0,-1.0,0.0,unknown,yes
32.0,admin.,single,secondary,no,620.0,yes,no,unknown,26.0,may,1234.0,3.0,-1.0,0.0,unknown,yes
37.0,blue-collar,divorced,secondary,no,316.0,yes,no,unknown,26.0,may,642.0,2.0,-1.0,0.0,unknown,yes
34.0,management,married,tertiary,no,2287.0,yes,no,unknown,26.0,may,895.0,4.0,-1.0,0.0,unknown,yes
38.0,admin.,divorced,secondary,no,198.0,yes,no,unknown,26.0,may,431.0,2.0,-1.0,0.0,unknown,yes
28.0,admin.,single,secondary,no,460.0,yes,no,unknown,26.0,may,741.0,6.0,-1.0,0.0,unknown,yes
31.0,management,divorced,tertiary,no,1145.0,yes,no,unknown,26.0,may,1272.0,4.0,-1.0,0.0,unknown,yes
59.0,services,married,secondary,no,-22.0,yes,no,unknown,26.0,may,748.0,3.0,-1.0,0.0,unknown,yes
24.0,blue-collar,married,secondary,no,685.0,yes,no,unknown,26.0,may,896.0,3.0,-1.0,0.0,unknown,yes
26.0,services,single,secondary,no,901.0,yes,no,unknown,26.0,may,764.0,2.0,-1.0,0.0,unknown,yes
59.0,retired,single,secondary,no,351.0,yes,no,unknown,27.0,may,1063.0,5.0,-1.0,0.0,unknown,yes
30.0,entrepreneur,single,primary,no,0.0,yes,yes,unknown,27.0,may,1051.0,1.0,-1.0,0.0,unknown,yes
37.0,admin.,married,secondary,no,274.0,yes,no,unknown,27.0,may,731.0,3.0,-1.0,0.0,unknown,yes
30.0,admin.,single,secondary,no,-213.0,yes,yes,unknown,27.0,may,751.0,1.0,-1.0,0.0,unknown,yes
25.0,blue-collar,married,secondary,no,97.0,yes,no,unknown,27.0,may,709.0,1.0,-1.0,0.0,unknown,yes
44.0,services,divorced,secondary,no,51.0,yes,yes,unknown,27.0,may,3094.0,2.0,-1.0,0.0,unknown,yes
29.0,management,married,tertiary,no,314.0,no,no,unknown,28.0,may,938.0,2.0,-1.0,0.0,unknown,yes
26.0,management,single,tertiary,no,6840.0,yes,no,unknown,28.0,may,1560.0,2.0,-1.0,0.0,unknown,yes
27.0,services,single,secondary,no,54.0,yes,no,unknown,28.0,may,543.0,2.0,-1.0,0.0,unknown,yes
25.0,self-employed,single,secondary,no,1242.0,yes,no,unknown,28.0,may,615.0,2.0,-1.0,0.0,unknown,yes
28.0,management,married,secondary,no,292.0,yes,no,unknown,28.0,may,507.0,1.0,-1.0,0.0,unknown,yes
23.0,services,single,secondary,no,665.0,yes,no,unknown,28.0,may,1183.0,1.0,-1.0,0.0,unknown,yes
34.0,management,single,tertiary,no,1058.0,yes,no,unknown,28.0,may,864.0,2.0,-1.0,0.0,unknown,yes
28.0,student,single,secondary,no,949.0,yes,no,unknown,28.0,may,1730.0,1.0,-1.0,0.0,unknown,yes
51.0,entrepreneur,married,unknown,no,606.0,yes,no,unknown,28.0,may,560.0,9.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,29.0,may,543.0,1.0,-1.0,0.0,unknown,yes
35.0,admin.,married,secondary,no,404.0,yes,no,unknown,29.0,may,539.0,1.0,-1.0,0.0,unknown,yes
56.0,blue-collar,married,secondary,no,249.0,yes,no,unknown,29.0,may,791.0,2.0,-1.0,0.0,unknown,yes
45.0,unemployed,divorced,secondary,no,3354.0,yes,no,unknown,29.0,may,746.0,1.0,-1.0,0.0,unknown,yes
60.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,29.0,may,1207.0,1.0,-1.0,0.0,unknown,yes
56.0,technician,married,secondary,no,589.0,yes,no,unknown,29.0,may,535.0,2.0,-1.0,0.0,unknown,yes
27.0,management,single,tertiary,no,12956.0,yes,no,unknown,29.0,may,789.0,3.0,-1.0,0.0,unknown,yes
30.0,admin.,married,secondary,no,873.0,yes,no,unknown,29.0,may,792.0,3.0,-1.0,0.0,unknown,yes
45.0,blue-collar,divorced,primary,no,594.0,yes,no,unknown,29.0,may,833.0,2.0,-1.0,0.0,unknown,yes
29.0,blue-collar,single,secondary,no,-20.0,yes,no,unknown,29.0,may,814.0,2.0,-1.0,0.0,unknown,yes
38.0,management,divorced,tertiary,no,4692.0,yes,no,unknown,29.0,may,1363.0,2.0,-1.0,0.0,unknown,yes
30.0,blue-collar,married,secondary,no,486.0,yes,no,unknown,29.0,may,1109.0,3.0,-1.0,0.0,unknown,yes
44.0,blue-collar,single,primary,no,1593.0,yes,no,unknown,29.0,may,828.0,3.0,-1.0,0.0,unknown,yes
36.0,management,single,tertiary,no,7606.0,yes,no,unknown,30.0,may,917.0,1.0,-1.0,0.0,unknown,yes
38.0,technician,married,secondary,no,226.0,yes,no,unknown,30.0,may,762.0,3.0,-1.0,0.0,unknown,yes
37.0,management,divorced,secondary,no,16.0,yes,no,unknown,30.0,may,638.0,1.0,-1.0,0.0,unknown,yes
35.0,management,single,tertiary,no,565.0,yes,no,unknown,30.0,may,763.0,1.0,-1.0,0.0,unknown,yes
38.0,admin.,divorced,secondary,no,19.0,yes,no,unknown,30.0,may,604.0,2.0,-1.0,0.0,unknown,yes
40.0,services,married,primary,no,1082.0,yes,no,unknown,30.0,may,854.0,2.0,-1.0,0.0,unknown,yes
42.0,unemployed,divorced,secondary,no,1713.0,yes,no,unknown,30.0,may,855.0,2.0,-1.0,0.0,unknown,yes
46.0,management,divorced,tertiary,no,14481.0,yes,no,unknown,30.0,may,1269.0,1.0,-1.0,0.0,unknown,yes
35.0,technician,divorced,secondary,no,5724.0,yes,no,unknown,30.0,may,691.0,10.0,-1.0,0.0,unknown,yes
34.0,technician,divorced,secondary,no,1451.0,yes,no,unknown,30.0,may,1097.0,15.0,-1.0,0.0,unknown,yes
50.0,unemployed,married,secondary,no,3674.0,yes,no,unknown,30.0,may,886.0,3.0,-1.0,0.0,unknown,yes
35.0,blue-collar,married,secondary,no,698.0,yes,yes,unknown,30.0,may,1343.0,3.0,-1.0,0.0,unknown,yes
36.0,technician,single,secondary,no,4136.0,yes,no,unknown,30.0,may,812.0,3.0,-1.0,0.0,unknown,yes
53.0,blue-collar,divorced,primary,no,2656.0,yes,no,unknown,30.0,may,1980.0,2.0,-1.0,0.0,unknown,yes
46.0,management,single,tertiary,no,2904.0,yes,no,unknown,30.0,may,984.0,2.0,-1.0,0.0,unknown,yes
45.0,technician,single,secondary,no,410.0,yes,no,unknown,30.0,may,891.0,4.0,-1.0,0.0,unknown,yes
31.0,unemployed,divorced,primary,no,0.0,yes,no,unknown,30.0,may,745.0,12.0,-1.0,0.0,unknown,yes
29.0,management,single,tertiary,no,0.0,yes,no,unknown,30.0,may,539.0,12.0,-1.0,0.0,unknown,yes
53.0,entrepreneur,single,secondary,no,62.0,yes,no,unknown,30.0,may,1044.0,5.0,-1.0,0.0,unknown,yes
27.0,blue-collar,married,primary,no,416.0,yes,no,unknown,30.0,may,1193.0,2.0,-1.0,0.0,unknown,yes
39.0,management,married,tertiary,no,2763.0,yes,no,unknown,2.0,jun,526.0,2.0,-1.0,0.0,unknown,yes
36.0,services,married,secondary,no,2984.0,yes,no,unknown,2.0,jun,394.0,1.0,-1.0,0.0,unknown,yes
41.0,blue-collar,married,primary,no,143.0,yes,yes,unknown,2.0,jun,659.0,2.0,-1.0,0.0,unknown,yes
36.0,services,married,primary,no,0.0,yes,no,unknown,2.0,jun,1036.0,1.0,-1.0,0.0,unknown,yes
32.0,technician,married,secondary,no,696.0,yes,no,unknown,2.0,jun,815.0,1.0,-1.0,0.0,unknown,yes
35.0,services,married,secondary,no,152.0,yes,no,unknown,2.0,jun,563.0,1.0,-1.0,0.0,unknown,yes
36.0,management,single,tertiary,no,-78.0,yes,no,unknown,2.0,jun,1068.0,1.0,-1.0,0.0,unknown,yes
35.0,management,married,tertiary,no,867.0,yes,no,unknown,2.0,jun,230.0,3.0,-1.0,0.0,unknown,yes
42.0,blue-collar,married,secondary,no,443.0,yes,no,unknown,2.0,jun,671.0,5.0,-1.0,0.0,unknown,yes
42.0,technician,single,secondary,yes,-1129.0,yes,no,unknown,2.0,jun,555.0,5.0,-1.0,0.0,unknown,yes
29.0,blue-collar,single,secondary,no,260.0,yes,no,unknown,2.0,jun,707.0,14.0,-1.0,0.0,unknown,yes
44.0,management,divorced,tertiary,yes,-411.0,yes,no,unknown,2.0,jun,432.0,4.0,-1.0,0.0,unknown,yes
32.0,technician,single,secondary,no,1279.0,yes,no,unknown,3.0,jun,1173.0,3.0,-1.0,0.0,unknown,yes
31.0,unemployed,married,secondary,no,86.0,yes,yes,unknown,3.0,jun,963.0,2.0,-1.0,0.0,unknown,yes
40.0,self-employed,married,secondary,yes,-754.0,yes,yes,unknown,3.0,jun,941.0,3.0,-1.0,0.0,unknown,yes
43.0,entrepreneur,married,secondary,no,0.0,no,no,unknown,3.0,jun,1025.0,7.0,-1.0,0.0,unknown,yes
27.0,management,single,secondary,no,178.0,yes,no,unknown,3.0,jun,732.0,2.0,-1.0,0.0,unknown,yes
37.0,services,single,secondary,no,278.0,yes,no,unknown,3.0,jun,1045.0,3.0,-1.0,0.0,unknown,yes
23.0,services,single,secondary,no,425.0,yes,no,unknown,3.0,jun,768.0,1.0,-1.0,0.0,unknown,yes
47.0,blue-collar,divorced,primary,no,126.0,yes,no,unknown,3.0,jun,2456.0,2.0,-1.0,0.0,unknown,yes
35.0,admin.,married,secondary,no,-87.0,yes,no,unknown,3.0,jun,1363.0,7.0,-1.0,0.0,unknown,yes
32.0,technician,single,tertiary,no,6281.0,yes,no,unknown,3.0,jun,1336.0,4.0,-1.0,0.0,unknown,yes
45.0,management,divorced,secondary,no,644.0,yes,no,unknown,4.0,jun,633.0,1.0,-1.0,0.0,unknown,yes
30.0,admin.,divorced,secondary,no,377.0,yes,no,unknown,4.0,jun,524.0,15.0,-1.0,0.0,unknown,yes
29.0,services,single,secondary,no,-271.0,yes,no,unknown,4.0,jun,578.0,1.0,-1.0,0.0,unknown,yes
38.0,blue-collar,married,primary,no,5839.0,yes,no,unknown,4.0,jun,984.0,2.0,-1.0,0.0,unknown,yes
23.0,blue-collar,single,secondary,no,492.0,yes,no,unknown,4.0,jun,638.0,1.0,-1.0,0.0,unknown,yes
27.0,management,single,tertiary,no,99.0,yes,no,unknown,4.0,jun,767.0,2.0,-1.0,0.0,unknown,yes
27.0,management,single,tertiary,yes,-713.0,yes,no,unknown,4.0,jun,525.0,2.0,-1.0,0.0,unknown,yes
29.0,services,single,secondary,no,32.0,yes,no,unknown,4.0,jun,563.0,1.0,-1.0,0.0,unknown,yes
30.0,self-employed,married,tertiary,no,543.0,yes,yes,unknown,4.0,jun,1449.0,6.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,primary,no,403.0,yes,no,unknown,4.0,jun,920.0,1.0,-1.0,0.0,unknown,yes
35.0,admin.,divorced,secondary,no,437.0,yes,no,unknown,4.0,jun,908.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,married,secondary,no,1772.0,no,no,unknown,5.0,jun,208.0,1.0,-1.0,0.0,unknown,yes
59.0,retired,divorced,primary,no,-88.0,yes,no,unknown,5.0,jun,910.0,2.0,-1.0,0.0,unknown,yes
47.0,entrepreneur,married,secondary,no,0.0,no,no,unknown,5.0,jun,1446.0,1.0,-1.0,0.0,unknown,yes
58.0,entrepreneur,married,tertiary,no,853.0,no,no,unknown,5.0,jun,1149.0,2.0,-1.0,0.0,unknown,yes
37.0,management,single,tertiary,no,240.0,no,no,unknown,5.0,jun,1123.0,1.0,-1.0,0.0,unknown,yes
46.0,admin.,single,secondary,no,849.0,yes,no,unknown,5.0,jun,508.0,2.0,-1.0,0.0,unknown,yes
43.0,blue-collar,single,secondary,no,318.0,yes,no,unknown,5.0,jun,736.0,2.0,-1.0,0.0,unknown,yes
27.0,management,single,tertiary,no,703.0,yes,no,unknown,5.0,jun,590.0,3.0,-1.0,0.0,unknown,yes
