marital,education,balance,housing,loan,duration,campaign,previous,poutcome,deposit
married,secondary,2.0,yes,no,182.0,2.0,0.0,unknown,yes
married,secondary,4170.0,yes,no,1777.0,1.0,0.0,unknown,yes
single,secondary,85.0,yes,no,1182.0,4.0,0.0,unknown,yes
single,secondary,431.0,yes,yes,1045.0,1.0,0.0,unknown,yes
divorced,secondary,982.0,yes,no,650.0,3.0,0.0,unknown,yes
married,primary,408.0,yes,yes,1063.0,2.0,0.0,unknown,yes
married,unknown,4822.0,yes,no,843.0,2.0,0.0,unknown,yes
married,primary,1250.0,yes,no,1392.0,2.0,0.0,unknown,yes
single,primary,216.0,yes,no,565.0,1.0,0.0,unknown,yes
married,secondary,1207.0,yes,no,905.0,1.0,0.0,unknown,yes
married,secondary,791.0,yes,no,783.0,2.0,0.0,unknown,yes
married,tertiary,849.0,yes,yes,958.0,2.0,0.0,unknown,yes
single,secondary,239.0,yes,no,412.0,1.0,0.0,unknown,yes
single,secondary,1211.0,yes,no,795.0,1.0,0.0,unknown,yes
married,primary,599.0,yes,no,649.0,2.0,0.0,unknown,yes
single,tertiary,825.0,yes,no,506.0,2.0,0.0,unknown,yes
married,secondary,2183.0,yes,yes,857.0,1.0,0.0,unknown,yes
married,primary,4499.0,no,no,1681.0,1.0,0.0,unknown,yes
single,tertiary,1289.0,yes,no,1697.0,2.0,0.0,unknown,yes
single,tertiary,4665.0,yes,no,860.0,2.0,0.0,unknown,yes
single,secondary,3326.0,yes,no,799.0,1.0,0.0,unknown,yes
married,secondary,783.0,yes,no,923.0,3.0,0.0,unknown,yes
married,secondary,0.0,yes,no,521.0,3.0,0.0,unknown,yes
married,primary,994.0,yes,no,1349.0,8.0,0.0,unknown,yes
divorced,tertiary,1354.0,yes,no,736.0,2.0,0.0,unknown,yes
single,secondary,239.0,yes,no,785.0,1.0,0.0,unknown,yes
divorced,primary,-311.0,yes,no,1030.0,1.0,0.0,unknown,yes
married,secondary,149.0,yes,no,893.0,3.0,0.0,unknown,yes
married,secondary,1464.0,yes,no,588.0,3.0,0.0,unknown,yes
divorced,tertiary,5773.0,no,no,597.0,6.0,0.0,unknown,yes
married,primary,278.0,yes,no,1015.0,3.0,0.0,unknown,yes
married,secondary,2910.0,yes,no,1392.0,2.0,0.0,unknown,yes
married,tertiary,541.0,yes,no,414.0,2.0,0.0,unknown,yes
divorced,secondary,1262.0,yes,no,788.0,11.0,0.0,unknown,yes
married,secondary,-538.0,yes,no,682.0,1.0,0.0,unknown,yes
married,secondary,125.0,no,no,679.0,2.0,0.0,unknown,yes
single,tertiary,0.0,yes,no,1560.0,2.0,0.0,unknown,yes
single,secondary,620.0,yes,no,1234.0,3.0,0.0,unknown,yes
divorced,secondary,316.0,yes,no,642.0,2.0,0.0,unknown,yes
married,tertiary,2287.0,yes,no,895.0,4.0,0.0,unknown,yes
divorced,secondary,198.0,yes,no,431.0,2.0,0.0,unknown,yes
single,secondary,460.0,yes,no,741.0,6.0,0.0,unknown,yes
divorced,tertiary,1145.0,yes,no,1272.0,4.0,0.0,unknown,yes
married,secondary,-22.0,yes,no,748.0,3.0,0.0,unknown,yes
married,secondary,685.0,yes,no,896.0,3.0,0.0,unknown,yes
single,secondary,901.0,yes,no,764.0,2.0,0.0,unknown,yes
single,secondary,351.0,yes,no,1063.0,5.0,0.0,unknown,yes
single,primary,0.0,yes,yes,1051.0,1.0,0.0,unknown,yes
single,secondary,-213.0,yes,yes,751.0,1.0,0.0,unknown,yes
married,secondary,97.0,yes,no,709.0,1.0,0.0,unknown,yes
divorced,secondary,51.0,yes,yes,3094.0,2.0,0.0,unknown,yes
married,tertiary,314.0,no,no,938.0,2.0,0.0,unknown,yes
single,tertiary,6840.0,yes,no,1560.0,2.0,0.0,unknown,yes
single,secondary,668.0,yes,no,576.0,3.0,0.0,unknown,yes
single,secondary,54.0,yes,no,543.0,2.0,0.0,unknown,yes
single,secondary,1242.0,yes,no,615.0,2.0,0.0,unknown,yes
married,secondary,292.0,yes,no,507.0,1.0,0.0,unknown,yes
single,secondary,665.0,yes,no,1183.0,1.0,0.0,unknown,yes
single,secondary,949.0,yes,no,1730.0,1.0,0.0,unknown,yes
married,unknown,606.0,yes,no,560.0,9.0,0.0,unknown,yes
married,secondary,0.0,yes,yes,543.0,1.0,0.0,unknown,yes
married,secondary,404.0,yes,no,539.0,1.0,0.0,unknown,yes
married,secondary,249.0,yes,no,791.0,2.0,0.0,unknown,yes
divorced,secondary,3354.0,yes,no,746.0,1.0,0.0,unknown,yes
divorced,secondary,0.0,yes,no,1207.0,1.0,0.0,unknown,yes
married,secondary,589.0,yes,no,535.0,2.0,0.0,unknown,yes
single,tertiary,12956.0,yes,no,789.0,3.0,0.0,unknown,yes
divorced,primary,594.0,yes,no,833.0,2.0,0.0,unknown,yes
single,secondary,-20.0,yes,no,814.0,2.0,0.0,unknown,yes
divorced,tertiary,4692.0,yes,no,1363.0,2.0,0.0,unknown,yes
married,secondary,486.0,yes,no,1109.0,3.0,0.0,unknown,yes
single,primary,1593.0,yes,no,828.0,3.0,0.0,unknown,yes
single,tertiary,7606.0,yes,no,917.0,1.0,0.0,unknown,yes
married,secondary,226.0,yes,no,762.0,3.0,0.0,unknown,yes
single,secondary,366.0,yes,yes,1133.0,2.0,0.0,unknown,yes
divorced,secondary,16.0,yes,no,638.0,1.0,0.0,unknown,yes
single,tertiary,565.0,yes,no,763.0,1.0,0.0,unknown,yes
divorced,secondary,19.0,yes,no,604.0,2.0,0.0,unknown,yes
married,primary,1082.0,yes,no,854.0,2.0,0.0,unknown,yes
divorced,secondary,1713.0,yes,no,855.0,2.0,0.0,unknown,yes
divorced,tertiary,14481.0,yes,no,1269.0,1.0,0.0,unknown,yes
divorced,secondary,5724.0,yes,no,691.0,10.0,0.0,unknown,yes
divorced,secondary,1451.0,yes,no,1097.0,15.0,0.0,unknown,yes
married,secondary,-34.0,yes,no,1236.0,2.0,0.0,unknown,yes
married,secondary,3674.0,yes,no,886.0,3.0,0.0,unknown,yes
married,secondary,698.0,yes,yes,1343.0,3.0,0.0,unknown,yes
single,secondary,4136.0,yes,no,812.0,3.0,0.0,unknown,yes
divorced,primary,2656.0,yes,no,1980.0,2.0,0.0,unknown,yes
single,tertiary,2904.0,yes,no,984.0,2.0,0.0,unknown,yes
single,tertiary,1004.0,yes,no,228.0,2.0,0.0,unknown,yes
divorced,primary,0.0,yes,no,745.0,12.0,0.0,unknown,yes
single,tertiary,0.0,yes,no,539.0,12.0,0.0,unknown,yes
single,secondary,62.0,yes,no,1044.0,5.0,0.0,unknown,yes
married,primary,416.0,yes,no,1193.0,2.0,0.0,unknown,yes
married,tertiary,2763.0,yes,no,526.0,2.0,0.0,unknown,yes
married,secondary,2984.0,yes,no,394.0,1.0,0.0,unknown,yes
married,primary,143.0,yes,yes,659.0,2.0,0.0,unknown,yes
married,primary,0.0,yes,no,1036.0,1.0,0.0,unknown,yes
married,secondary,696.0,yes,no,815.0,1.0,0.0,unknown,yes
married,secondary,152.0,yes,no,563.0,1.0,0.0,unknown,yes
single,tertiary,-78.0,yes,no,1068.0,1.0,0.0,unknown,yes
married,tertiary,867.0,yes,no,230.0,3.0,0.0,unknown,yes
single,secondary,953.0,yes,no,747.0,2.0,0.0,unknown,yes
married,secondary,443.0,yes,no,671.0,5.0,0.0,unknown,yes
single,secondary,-1129.0,yes,no,555.0,5.0,0.0,unknown,yes
married,primary,415.0,yes,no,777.0,4.0,0.0,unknown,yes
single,secondary,260.0,yes,no,707.0,14.0,0.0,unknown,yes
divorced,tertiary,-411.0,yes,no,432.0,4.0,0.0,unknown,yes
single,secondary,1279.0,yes,no,1173.0,3.0,0.0,unknown,yes
married,secondary,86.0,yes,yes,963.0,2.0,0.0,unknown,yes
married,secondary,-754.0,yes,yes,941.0,3.0,0.0,unknown,yes
married,secondary,0.0,no,no,1025.0,7.0,0.0,unknown,yes
single,secondary,278.0,yes,no,1045.0,3.0,0.0,unknown,yes
single,secondary,425.0,yes,no,768.0,1.0,0.0,unknown,yes
married,primary,168.0,yes,no,801.0,1.0,0.0,unknown,yes
single,secondary,-36.0,yes,no,482.0,2.0,0.0,unknown,yes
divorced,primary,126.0,yes,no,2456.0,2.0,0.0,unknown,yes
married,secondary,-87.0,yes,no,1363.0,7.0,0.0,unknown,yes
single,tertiary,6281.0,yes,no,1336.0,4.0,0.0,unknown,yes
divorced,secondary,644.0,yes,no,633.0,1.0,0.0,unknown,yes
divorced,secondary,377.0,yes,no,524.0,15.0,0.0,unknown,yes
single,secondary,-271.0,yes,no,578.0,1.0,0.0,unknown,yes
married,primary,5839.0,yes,no,984.0,2.0,0.0,unknown,yes
single,secondary,492.0,yes,no,638.0,1.0,0.0,unknown,yes
single,tertiary,99.0,yes,no,767.0,2.0,0.0,unknown,yes
single,tertiary,-713.0,yes,no,525.0,2.0,0.0,unknown,yes
single,secondary,32.0,yes,no,563.0,1.0,0.0,unknown,yes
married,tertiary,543.0,yes,yes,1449.0,6.0,0.0,unknown,yes
married,primary,403.0,yes,no,920.0,1.0,0.0,unknown,yes
divorced,secondary,437.0,yes,no,908.0,1.0,0.0,unknown,yes
married,secondary,1772.0,no,no,208.0,1.0,0.0,unknown,yes
divorced,primary,-88.0,yes,no,910.0,2.0,0.0,unknown,yes
married,secondary,0.0,no,no,1446.0,1.0,0.0,unknown,yes
single,tertiary,240.0,no,no,1123.0,1.0,0.0,unknown,yes
single,secondary,849.0,yes,no,508.0,2.0,0.0,unknown,yes
single,secondary,318.0,yes,no,736.0,2.0,0.0,unknown,yes
single,tertiary,703.0,yes,no,590.0,3.0,0.0,unknown,yes
divorced,secondary,61.0,no,no,636.0,1.0,0.0,unknown,yes
married,primary,104.0,no,yes,701.0,1.0,0.0,unknown,yes
married,secondary,1996.0,no,no,761.0,2.0,0.0,unknown,yes
divorced,primary,1238.0,no,no,1558.0,1.0,0.0,unknown,yes
married,secondary,879.0,no,no,1053.0,2.0,0.0,unknown,yes
married,secondary,425.0,yes,no,562.0,15.0,0.0,unknown,yes
married,secondary,416.0,yes,no,494.0,5.0,0.0,unknown,yes
divorced,primary,844.0,no,no,1018.0,3.0,0.0,unknown,yes
married,secondary,860.0,yes,no,884.0,4.0,0.0,unknown,yes
single,secondary,639.0,yes,no,709.0,5.0,0.0,unknown,yes
married,secondary,710.0,yes,yes,1276.0,2.0,0.0,unknown,yes
married,unknown,1508.0,no,yes,381.0,2.0,0.0,unknown,yes
single,secondary,223.0,yes,no,862.0,11.0,0.0,unknown,yes
single,tertiary,619.0,yes,no,460.0,4.0,0.0,unknown,yes
divorced,secondary,319.0,yes,no,467.0,3.0,0.0,unknown,yes
married,secondary,480.0,no,no,648.0,2.0,0.0,unknown,yes
single,primary,213.0,yes,no,2653.0,3.0,0.0,unknown,yes
single,tertiary,68.0,no,no,1085.0,1.0,0.0,unknown,yes
married,secondary,2788.0,yes,no,369.0,2.0,0.0,unknown,yes
married,unknown,7561.0,no,no,685.0,3.0,0.0,unknown,yes
divorced,secondary,-46.0,yes,no,1055.0,10.0,0.0,unknown,yes
married,secondary,1595.0,no,no,882.0,1.0,0.0,unknown,yes
single,tertiary,1046.0,no,no,901.0,1.0,0.0,unknown,yes
divorced,tertiary,1382.0,no,no,700.0,1.0,0.0,unknown,yes
married,primary,217.0,yes,no,491.0,6.0,0.0,unknown,yes
divorced,primary,183.0,no,no,940.0,1.0,0.0,unknown,yes
married,secondary,1321.0,no,no,3881.0,3.0,0.0,unknown,yes
married,secondary,25.0,no,no,486.0,3.0,0.0,unknown,yes
single,tertiary,4844.0,no,no,1137.0,3.0,0.0,unknown,yes
married,tertiary,5345.0,no,no,878.0,3.0,0.0,unknown,yes
single,secondary,812.0,no,yes,583.0,4.0,0.0,unknown,yes
married,secondary,105.0,no,no,1159.0,4.0,0.0,unknown,yes
married,tertiary,-190.0,no,yes,893.0,8.0,0.0,unknown,yes
married,primary,625.0,no,yes,867.0,1.0,0.0,unknown,yes
married,unknown,293.0,no,no,706.0,1.0,0.0,unknown,yes
married,unknown,1033.0,no,no,1199.0,1.0,0.0,unknown,yes
married,tertiary,64.0,no,no,586.0,1.0,0.0,unknown,yes
divorced,unknown,164.0,no,no,967.0,2.0,0.0,unknown,yes
married,secondary,1766.0,no,no,595.0,2.0,0.0,unknown,yes
single,tertiary,1248.0,no,no,1290.0,2.0,0.0,unknown,yes
married,secondary,0.0,no,no,614.0,2.0,0.0,unknown,yes
married,secondary,826.0,no,no,885.0,1.0,0.0,unknown,yes
married,tertiary,2630.0,no,no,651.0,5.0,0.0,unknown,yes
single,tertiary,3727.0,no,no,993.0,6.0,0.0,unknown,yes
married,tertiary,2999.0,no,no,1141.0,6.0,0.0,unknown,yes
married,secondary,1000.0,yes,no,1268.0,2.0,0.0,unknown,yes
divorced,tertiary,503.0,no,yes,1243.0,7.0,0.0,unknown,yes
single,secondary,-203.0,yes,no,465.0,3.0,0.0,unknown,yes
married,primary,361.0,yes,no,513.0,2.0,0.0,unknown,yes
married,secondary,274.0,yes,no,686.0,11.0,0.0,unknown,yes
divorced,tertiary,3687.0,yes,yes,741.0,4.0,0.0,unknown,yes
single,unknown,323.0,no,no,617.0,1.0,0.0,unknown,yes
married,secondary,981.0,no,no,1093.0,1.0,0.0,unknown,yes
divorced,secondary,638.0,yes,no,1395.0,2.0,0.0,unknown,yes
single,tertiary,3229.0,no,no,1089.0,1.0,0.0,unknown,yes
single,secondary,1610.0,yes,no,1248.0,3.0,0.0,unknown,yes
married,secondary,33.0,no,yes,721.0,3.0,0.0,unknown,yes
married,secondary,536.0,yes,no,750.0,2.0,0.0,unknown,yes
married,tertiary,0.0,no,no,637.0,6.0,0.0,unknown,yes
married,tertiary,3057.0,no,no,2769.0,4.0,0.0,unknown,yes
married,secondary,2892.0,no,no,556.0,1.0,0.0,unknown,yes
single,tertiary,3316.0,no,no,1345.0,3.0,0.0,unknown,yes
married,secondary,106.0,no,no,676.0,2.0,0.0,unknown,yes
married,primary,2303.0,yes,no,775.0,3.0,0.0,unknown,yes
married,tertiary,3301.0,no,no,2621.0,3.0,0.0,unknown,yes
single,tertiary,426.0,no,no,1029.0,1.0,0.0,unknown,yes
divorced,secondary,9.0,no,no,371.0,2.0,0.0,unknown,yes
married,secondary,-97.0,yes,no,1528.0,2.0,0.0,unknown,yes
single,tertiary,11008.0,no,no,1540.0,1.0,0.0,unknown,yes
single,primary,4930.0,no,no,973.0,1.0,0.0,unknown,yes
married,secondary,707.0,no,no,707.0,1.0,0.0,unknown,yes
married,secondary,4.0,yes,yes,625.0,2.0,0.0,unknown,yes
married,secondary,126.0,no,no,1255.0,1.0,0.0,unknown,yes
married,secondary,671.0,yes,no,704.0,4.0,0.0,unknown,yes
divorced,secondary,3622.0,no,no,1135.0,4.0,0.0,unknown,yes
married,secondary,1319.0,no,no,1318.0,3.0,0.0,unknown,yes
married,primary,2152.0,no,no,922.0,2.0,0.0,unknown,yes
married,secondary,2843.0,yes,no,585.0,1.0,0.0,unknown,yes
married,tertiary,0.0,no,no,952.0,4.0,0.0,unknown,yes
married,primary,1115.0,no,no,834.0,1.0,0.0,unknown,yes
single,secondary,625.0,no,no,651.0,3.0,0.0,unknown,yes
married,secondary,61.0,yes,no,1012.0,1.0,0.0,unknown,yes
single,secondary,-191.0,yes,no,958.0,7.0,0.0,unknown,yes
married,primary,519.0,no,no,973.0,2.0,0.0,unknown,yes
married,secondary,522.0,no,yes,911.0,1.0,0.0,unknown,yes
single,secondary,-46.0,yes,no,382.0,7.0,0.0,unknown,yes
married,tertiary,2269.0,no,no,1210.0,1.0,0.0,unknown,yes
married,unknown,386.0,no,yes,838.0,1.0,0.0,unknown,yes
married,tertiary,0.0,no,yes,422.0,1.0,0.0,unknown,yes
married,tertiary,9103.0,no,yes,1098.0,2.0,0.0,unknown,yes
single,secondary,908.0,yes,no,1663.0,1.0,0.0,unknown,yes
married,tertiary,1694.0,no,yes,560.0,3.0,0.0,unknown,yes
married,tertiary,-92.0,yes,yes,1617.0,1.0,0.0,unknown,yes
married,secondary,188.0,yes,yes,570.0,2.0,0.0,unknown,yes
divorced,secondary,0.0,no,no,1023.0,3.0,0.0,unknown,yes
single,secondary,740.0,yes,no,585.0,2.0,0.0,unknown,yes
married,tertiary,655.0,no,no,693.0,3.0,0.0,unknown,yes
married,secondary,867.0,yes,no,546.0,10.0,0.0,unknown,yes
married,secondary,1009.0,yes,yes,1036.0,5.0,0.0,unknown,yes
divorced,unknown,6360.0,no,no,1409.0,2.0,0.0,unknown,yes
married,tertiary,4145.0,no,no,988.0,4.0,0.0,unknown,yes
single,secondary,-27.0,no,no,498.0,2.0,0.0,unknown,yes
single,primary,-122.0,yes,no,670.0,3.0,0.0,unknown,yes
married,tertiary,149.0,yes,no,662.0,2.0,0.0,unknown,yes
single,primary,52.0,yes,no,528.0,2.0,0.0,unknown,yes
married,tertiary,335.0,yes,no,519.0,3.0,0.0,unknown,yes
married,tertiary,526.0,yes,yes,677.0,3.0,0.0,unknown,yes
single,secondary,-7.0,no,yes,3183.0,2.0,0.0,unknown,yes
married,primary,-413.0,no,yes,422.0,6.0,0.0,unknown,yes
divorced,secondary,-241.0,no,yes,856.0,2.0,0.0,unknown,yes
single,secondary,75.0,yes,no,479.0,9.0,0.0,unknown,yes
single,tertiary,0.0,no,no,1135.0,2.0,0.0,unknown,yes
single,secondary,158.0,no,no,650.0,2.0,0.0,unknown,yes
single,secondary,84.0,no,yes,587.0,3.0,0.0,unknown,yes
married,secondary,114.0,no,yes,676.0,1.0,0.0,unknown,yes
single,secondary,-127.0,yes,no,1044.0,3.0,0.0,unknown,yes
married,secondary,49.0,yes,no,494.0,4.0,0.0,unknown,yes
married,secondary,216.0,no,no,615.0,2.0,0.0,unknown,yes
single,secondary,506.0,yes,no,718.0,2.0,0.0,unknown,yes
divorced,primary,213.0,yes,no,434.0,3.0,0.0,unknown,yes
single,secondary,170.0,no,no,782.0,1.0,0.0,unknown,yes
divorced,tertiary,776.0,no,yes,722.0,3.0,0.0,unknown,yes
married,secondary,879.0,no,no,621.0,2.0,0.0,unknown,yes
married,secondary,1633.0,no,no,629.0,2.0,0.0,unknown,yes
married,secondary,926.0,no,no,385.0,5.0,0.0,unknown,yes
single,tertiary,2559.0,no,no,889.0,1.0,0.0,unknown,yes
single,secondary,909.0,no,yes,532.0,1.0,0.0,unknown,yes
divorced,secondary,-176.0,no,yes,574.0,1.0,0.0,unknown,yes
single,secondary,1085.0,yes,yes,599.0,1.0,0.0,unknown,yes
divorced,primary,1265.0,no,yes,849.0,1.0,0.0,unknown,yes
single,secondary,-239.0,yes,yes,973.0,3.0,0.0,unknown,yes
single,secondary,726.0,no,no,719.0,2.0,0.0,unknown,yes
single,tertiary,296.0,no,yes,509.0,4.0,0.0,unknown,yes
married,secondary,-627.0,yes,yes,740.0,1.0,0.0,unknown,yes
married,tertiary,-468.0,no,no,534.0,1.0,0.0,unknown,yes
single,secondary,551.0,no,no,531.0,1.0,0.0,unknown,yes
single,secondary,0.0,no,yes,634.0,1.0,0.0,unknown,yes
married,secondary,101.0,no,yes,460.0,3.0,0.0,unknown,yes
single,secondary,517.0,no,yes,681.0,1.0,0.0,unknown,yes
divorced,tertiary,37.0,no,yes,1082.0,1.0,0.0,unknown,yes
divorced,tertiary,854.0,no,yes,730.0,1.0,0.0,unknown,yes
married,secondary,30.0,no,yes,716.0,5.0,0.0,unknown,yes
single,secondary,81.0,no,yes,803.0,2.0,0.0,unknown,yes
married,secondary,0.0,no,no,635.0,1.0,0.0,unknown,yes
single,secondary,663.0,no,yes,819.0,3.0,0.0,unknown,yes
single,secondary,102.0,no,yes,658.0,2.0,0.0,unknown,yes
married,secondary,370.0,no,yes,1061.0,4.0,0.0,unknown,yes
single,secondary,189.0,no,yes,687.0,2.0,0.0,unknown,yes
single,secondary,111.0,no,no,537.0,1.0,0.0,unknown,yes
married,primary,665.0,yes,no,781.0,1.0,0.0,unknown,yes
married,primary,214.0,yes,no,645.0,1.0,0.0,unknown,yes
single,primary,0.0,no,no,1242.0,1.0,0.0,unknown,yes
divorced,tertiary,1583.0,yes,no,662.0,1.0,0.0,unknown,yes
married,secondary,0.0,no,yes,625.0,1.0,0.0,unknown,yes
divorced,tertiary,0.0,no,yes,426.0,3.0,0.0,unknown,yes
divorced,secondary,687.0,yes,no,869.0,1.0,0.0,unknown,yes
married,tertiary,327.0,yes,yes,556.0,5.0,0.0,unknown,yes
married,secondary,-119.0,no,yes,359.0,5.0,0.0,unknown,yes
married,tertiary,794.0,yes,yes,1014.0,1.0,0.0,unknown,yes
married,primary,-191.0,yes,yes,1290.0,4.0,0.0,unknown,yes
single,tertiary,409.0,no,yes,564.0,5.0,0.0,unknown,yes
married,primary,3.0,no,yes,1439.0,6.0,0.0,unknown,yes
single,primary,9.0,no,yes,919.0,2.0,0.0,unknown,yes
single,secondary,155.0,yes,yes,1426.0,3.0,0.0,unknown,yes
married,secondary,1330.0,no,no,901.0,1.0,0.0,unknown,yes
